datetime,open,high,low,close,volume,float
2007-07-03,8.05,8.05,8.05,8.05,0.0,
2007-07-11,8.05,8.05,8.05,8.05,0.0,
2007-07-12,8.951,8.951,8.951,8.951,0.0,
2007-07-17,8.55,8.55,8.55,8.55,0.0,
2007-07-31,8.5,8.5,8.5,8.5,0.0,
2007-08-03,8.55,8.55,8.55,8.55,0.0,
2007-08-13,8.6,8.6,8.6,8.6,0.0,
2007-08-21,8.65,8.65,8.65,8.65,0.0,
2007-09-06,8.7,8.7,8.7,8.7,0.0,
2007-09-11,8.65,8.65,8.65,8.65,0.0,
2007-09-18,8.7,8.7,8.7,8.7,0.0,
2007-10-08,8.3,8.3,8.3,8.3,0.0,
2007-10-09,8.35,8.35,8.35,8.35,0.0,
2007-10-12,8.35,8.35,8.35,8.35,0.0,
2007-10-18,8.35,8.35,8.35,8.35,0.0,
2007-10-26,8.35,8.35,8.35,8.35,0.0,
2007-11-01,8.35,8.35,8.35,8.35,0.0,
2007-11-02,8.35,8.35,8.35,8.35,0.0,
2007-11-07,8.35,8.35,8.35,8.35,0.0,
2007-11-20,8.8,8.8,8.8,8.8,0.0,
2007-12-03,8.75,8.75,8.75,8.75,0.0,
2007-12-10,8.8,8.8,8.8,8.8,0.0,
2007-12-17,8.75,8.75,8.75,8.75,0.0,
2007-12-24,8.75,8.75,8.75,8.75,0.0,
2008-01-16,8.69,8.69,8.69,8.69,0.0,
2008-01-28,8.74,8.74,8.74,8.74,0.0,
2008-02-13,8.89,8.89,8.89,8.89,0.0,
2008-02-18,8.89,8.89,8.89,8.89,0.0,
2008-02-25,8.89,8.89,8.89,8.89,0.0,
2008-03-03,8.88,8.88,8.88,8.88,0.0,
2008-03-06,8.93,8.93,8.93,8.93,0.0,
2008-03-10,9.07,9.07,9.07,9.07,0.0,
2008-03-11,9.07,9.07,9.07,9.07,0.0,
2008-03-13,9.07,9.07,9.07,9.07,0.0,
2008-03-18,9.07,9.07,9.07,9.07,0.0,
2008-03-19,9.07,9.07,9.07,9.07,0.0,
2008-03-20,9.07,9.07,9.07,9.07,0.0,
2008-03-24,9.07,9.07,9.07,9.07,0.0,
2008-03-25,9.08,9.08,9.08,9.08,0.0,
2008-03-26,9.08,9.08,9.08,9.08,0.0,
2008-03-27,9.08,9.08,9.08,9.08,0.0,
2008-04-08,9.08,9.08,9.08,9.08,0.0,
2008-04-10,9.08,9.08,9.08,9.08,0.0,
2008-04-17,9.08,9.08,9.08,9.08,0.0,
2008-04-22,9.18,9.18,9.18,9.18,0.0,
2008-04-24,9.19,9.19,9.19,9.19,0.0,
2008-04-28,9.19,9.19,9.19,9.19,0.0,
2008-04-29,9.28,9.28,9.28,9.28,0.0,
2008-05-05,9.27,9.27,9.27,9.27,0.0,
2008-06-18,0.12,0.12,0.12,0.12,0.0,
2008-06-20,12.0,12.0,12.0,12.0,0.0,
2008-06-23,12.5,12.5,12.5,12.5,0.0,
2008-06-24,12.7,12.7,12.7,12.7,0.0,
2008-06-27,12.5,12.5,12.5,12.5,0.0,
2008-06-30,17.1,17.1,17.1,17.1,0.0,
2008-07-02,17.1,17.1,17.1,17.1,0.0,
2008-07-04,17.1,17.1,17.1,17.1,0.0,
2008-07-08,17.1,17.1,17.1,17.1,0.0,
2008-07-09,17.1,17.1,17.1,17.1,0.0,
2008-07-10,17.1,17.1,17.1,17.1,0.0,
2008-07-11,17.1,17.1,17.1,17.1,0.0,
2008-07-14,17.1,17.1,17.1,17.1,0.0,
2008-07-15,17.1,17.1,17.1,17.1,0.0,
2008-07-16,17.1,17.1,17.1,17.1,0.0,
2008-07-18,14.5,14.5,14.5,14.5,0.0,
2008-07-21,15.3,15.3,15.3,15.3,0.0,
2008-07-22,17.1,17.1,17.1,17.1,0.0,
2008-07-23,15.5,15.5,15.5,15.5,0.0,
2008-07-24,15.5,15.5,15.5,15.5,0.0,
2008-07-25,15.5,15.5,15.5,15.5,0.0,
2008-07-28,15.5,15.5,15.5,15.5,0.0,
2008-07-29,15.5,15.5,15.5,15.5,0.0,
2008-07-30,15.5,15.5,15.5,15.5,0.0,
2008-07-31,15.5,15.5,15.5,15.5,0.0,
2008-08-01,15.0,15.0,15.0,15.0,0.0,
